"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","7566","0","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","4.132656","0","2"
"/Game/ChampionEXE/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","3","3","1","6.173533","0","3"
"/Game/ChampionEXE/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","3","3","1","7.484980","0","3"
"/Game/ChampionEXE/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","0","3","3","1","9.124768","0","3"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","3.164617","0","2"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","84","84","1","1045.914429","0","84"
"","0","512","0","1","0.000000","513","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","71.396248","0","32"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","58.763504","0","50"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","2.895644","0","2"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","2.550874","0","2"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","0","2","2","1","2.461272","0","2"
"/Game/ChampionEXE/World_Materials/M_Landscape.M_Landscape","0","44","44","4","50.241058","3","50"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","5","5","1","5.127656","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","3.464121","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","2.595224","0","5"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","8.890690","0","6"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","44","48","2","86.546722","0","48"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","8.580096","0","6"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","1.571892","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","78.811295","0","32"
"/CameraCalibrationCore/Materials/M_DefaultEvenSquare.M_DefaultEvenSquare","0","4","4","1","4.020600","0","4"
"/Game/ChampionEXE/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","6","6","1","11.850757","0","6"
"/Game/ChampionEXE/Markers/LaserPointerMaterial_Green.LaserPointerMaterial_Green","0","15","15","1","17.734070","0","15"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","21.897364","0","14"
"/Game/ChampionEXE/XP_System/XP_Material.XP_Material","0","3","3","1","7.061975","0","3"
